OBJECTID,TRANSCODE,TC_METHOD,NAME,UNIQUE_ID,LAKE_NAME,NEW_KEY,X_COORD,Y_COORD,COMID,FDATE,GNIS_ID,GNIS_NAME,REACHCODE,FTYPE,FCODE,CI_TR,PU_CODE
42846,clntn46290,spatjoin,,47323,no name,63-1700,726736.2188,257613.3231,146646290,3/29/06,,,4.09E+12,390,39004,46290,clntn
42847,clntn46194,spatjoin,Loon Lake,46439,Loon Lake,63-1610,731828.549,262720.7573,146646194,3/29/06,631044,Loon Lake,4.09E+12,390,39004,46194,clntn
42848,clntn46262,spatjoin,Stony Lake,47130,Stony Lake,63-1539,722057.4869,258172.214,146646262,3/29/06,638911,Stony Lake,4.09E+12,390,39004,46262,clntn
42850,clntn46304,spatjoin,Nowlan Lake,47440,Nowlan Lake,50-209,739758.1936,257040.5858,146646304,3/29/06,633775,Nowlan Lake,4.09E+12,390,39004,46304,clntn
42860,clntn46224,spatjoin,Streeter Lake,46807,Streeter Lake,50-202,742955.9717,260160.5487,146646224,3/29/06,638951,Streeter Lake,4.09E+12,390,39004,46224,clntn
42861,clntn46184,spatjoin,Howard Lake,46427,Howard Lake,63-1608,732549.5536,262870.4409,146646184,3/29/06,628696,Howard Lake,4.09E+12,390,39004,46184,clntn
42865,clntn46259,spatjoin,Upper Lakeville Lake,47025,Upper Lakeville Lake,63-1640,732664.6473,258808.1806,146646259,3/29/06,1615407,Upper Lakeville Lake,4.09E+12,390,39004,46259,clntn
42873,clntn46162,spatjoin,Hagemeister Lake,46216,Hagemeister Lake,44-136,731851.7889,263874.171,146646162,3/29/06,627594,Hagemeister Lake,4.09E+12,390,39004,46162,clntn
42874,clntn46312,spatjoin,,47435,no name,63-1752,721947.51,257231.7613,146646312,3/29/06,,,4.09E+12,390,39004,46312,clntn
42878,clntn46235,spatjoin,Fisher Lake,46913,Fisher Lake,50-204,738370.66,259341.9245,146646235,3/29/06,626063,Fisher Lake,4.09E+12,390,39004,46235,clntn
42879,clntn46231,spatjoin,,46896,no name,50-249,755966.7656,259714.1449,146646231,3/29/06,,,4.09E+12,390,39004,46231,clntn
42880,clntn46209,spatjoin,Lake George,46634,"George, Lake",63-1628,731801.2695,261221.9042,146646209,3/29/06,626739,Lake George,4.09E+12,390,39004,46209,clntn
42881,clntn46182,spatjoin,,46396,no name,50-252,743190.8276,262953.77,146646182,3/29/06,,,4.09E+12,390,39004,46182,clntn
42884,clntn46239,spatjoin,,46957,no name,50-248,755852.7208,259409.5347,146646239,3/29/06,,,4.09E+12,390,39004,46239,clntn
42885,clntn46239,spatjoin,,47017,no name,50-250,755807.4279,259150.5132,146646239,3/29/06,,,4.09E+12,390,39004,46239,clntn
42886,bkmac74772,spatjoin,,46559,sewage disposal pond,70-183,484321.0926,261830.0213,152274772,1/21/07,,,4.05E+12,436,43612,74772,bkmac
42888,bkmac74774,spatjoin,,46562,sewage disposal pond,70-182,484088.64,261818.68,152274774,1/21/07,,,4.05E+12,436,43612,74774,bkmac
42890,bkmac74778,spatjoin,Pigeon Lake,46525,Pigeon Lake,70-73,483152.5939,261316.3522,152274778,1/21/07,,,4.05E+12,390,39004,74778,bkmac
42893,bkmac74771,spatjoin,,46537,sewage disposal pond,70-181,484258.7437,262052.2783,152274771,1/21/07,,,4.05E+12,436,43612,74771,bkmac
42894,grand7965,spatjoin,,46208,no name,70-166,513746.2028,263739.4935,152707965,2/28/07,,,4.05001E+12,390,39004,7965,grand
42895,grand7955,spatjoin,,46145,No Name,70-165,512999.7831,264362.8508,152707955,2/28/07,,,4.05001E+12,390,39004,7955,grand
42901,grand8010,spatjoin,,46748,no name,70-178,516526.7597,260458.7638,152708010,2/28/07,,,4.05001E+12,390,39004,8010,grand
42906,grand7983,spatjoin,,46431,no name,41-793,521586.2913,262859.9992,152707983,2/28/07,,,4.05001E+12,390,39004,7983,grand
42907,grand7970,spatjoin,,46285,no name,41-792,521789.3994,263694.6824,152707970,2/28/07,,,4.05001E+12,390,39004,7970,grand
42908,grand8009,spatjoin,,46724,Kenowa Lake,70-170,517449.8354,260538.6719,152708009,2/28/07,,,4.05001E+12,390,39004,8009,grand
42910,grand8025,spatjoin,,47021,no name,70-180,513535.4894,259082.9588,152708025,2/28/07,,,4.05001E+12,390,39004,8025,grand
42914,grand8005,spatjoin,,46709,no name,70-169,516247.5583,260656.1875,152708005,2/28/07,,,4.05001E+12,390,39004,8005,grand
